Date,Time,Receipt Number,Transaction,Item,Payment Method
31-12-2122,22:15:11,1O5JN3,1,"arem""",Gopay
31-12-2122,21:29:35,1O5JN2,3,nasi ayam,Cash
31-12-2122,21:57:19,1O5JN1,2,chocolatos,Cash
31-12-2122,21:26:27,1O5JN1,3,kopi good day,Gopay
31-12-2122,21:16:34,1O5JMZ,2,teh pucuk,Cash
31-12-2122,19:47:46,1O5JMY,2,aqua 351ml,Cash
31-12-2122,19:41:29,1O5JMX,4,good time,BCA
31-12-2122,19:28:21,1O5JMW,1,sarden,Other
31-12-2122,17:54:51,1O5JMV,2,telur,GoFood
31-12-2122,14:49:26,1O5JMU,3,es teh,Cash
31-12-2122,14:12:32,1O5JMT,4,susu cokelat,GrabFood
31-12-2122,14:12:14,1O5JMS,5,susu vanilla,GrabFood
31-12-2122,14:11:51,1O5JMS,2,nagasari,GrabFood
31-12-2122,14:11:18,1O5JMR,4,usus crispy,Gopay
31-12-2122,22:24:31,1O5JMQ,1,nextar,GrabFood
31-12-2122,22:15:52,1O5JMP,2,pembalut,Ovo
31-12-2122,21:47:28,1O5JMO,3,buku tulis,Cash
31-12-2122,21:46:14,1O5JMO,2,bolpoin standart,Cash
31-12-2122,21:21:17,1O5JMN,4,buku gambar,BRI
31-12-2122,21:58:57,1O5JMM,1,pensil,Cash
31-12-2122,21:56:23,1O5JML,2,penghapus,Cash
31-12-2122,21:54:16,1O5JMK,3,rautan pensil,Gopay
31-12-2122,21:52:36,1O5JMJ,4,sari roti,Other EDC
31-12-2122,21:48:13,1O5JMI,5,mie,Gopay
31-12-2122,21:47:14,1O5JMH,2,kecap,Cash
31-12-2122,21:37:31,1O5JMG,4,saos,Cash
31-12-2122,19:33:18,1O5JMF,1,es cream,BCA
31-12-2122,19:31:17,1O5JME,2,pie susu,BCA
31-12-2122,19:29:51,1O5JMD,3,risol,Cash
31-12-2122,19:19:16,1O5JMC,4,martabak,Other
31-12-2122,19:11:47,1O5JMB,5,floridina,Gopay
31-12-2122,18:58:19,1O5JMA,2,iso plus,Cash
31-12-2122,18:56:17,1O5JM9,4,golda,BNI
31-12-2122,18:48:16,1O5JM8,1,nutrisari,Cash
31-12-2122,18:32:53,1O5JM7,2,teh rio,Cash
31-12-2122,18:21:35,1O5JM6,3,kopikap,Cash
31-12-2122,18:11:38,1O5JM5,4,roti aoka,GoFood
31-12-2122,17:58:36,1O5JM4,5,sari gandum,Cash
31-12-2122,17:44:34,1O5JM3,2,taro,Gopay
31-12-2122,17:36:26,1O5JM2,2,qitela,Mandiri
31-12-2122,17:31:27,1O5JM1,4,choki choki,Cash
31-12-2122,16:14:12,1O5JM1,1,bengbeng,Cash
31-12-2122,15:52:36,1O5JLZ,2,nabati,Cash
31-12-2122,13:57:12,1O5JLY,2,basreng,Cash
31-12-2122,13:19:27,1O5JLX,4,mie lidi,Cash
29-12-2122,21:52:16,1O5JLW,1,macroni pedas manis,BRI
29-12-2122,21:51:22,1O5JLV,2,bon cabe(bubuk cabe),Cash
29-12-2122,21:13:41,1O5JLU,3,pepsodent,Gopay
29-12-2122,21:46:17,1O5JLT,4,head&shoulder,Gopay
29-12-2122,18:18:12,1O5JLS,5,lifebuoy(sabun mandi cair),BNI
29-12-2122,17:54:39,1O5JLR,2,lifebuoy(shampoo),Cash
29-12-2122,17:34:14,1O5JLQ,3,shinzui(sabun mandi),Cash
29-12-2122,17:14:11,1O5JLP,2,biore(sabun muka),Gopay
29-12-2122,17:13:17,1O5JLO,4,lifebuoy(sabun mandi batangan),Cash
29-12-2122,16:46:15,1O5JLN,1,sunlight,Gopay
29-12-2122,16:21:28,1O5JLM,2,lux(sabun mandi),Cash
29-12-2122,14:16:12,1O5JLL,3,sunsilk(shampoo),Cash
29-12-2122,13:47:21,1O5JLK,4,pantene(shampoo),GoFood
29-12-2122,13:28:18,1O5JLJ,5,lux(sabun mandi),Cash
29-12-2122,12:19:23,1O5JLI,2,biore(sabun mandi),BCA
29-12-2122,11:34:34,1O5JLH,4,kacang sukro,BCA
29-12-2122,11:29:23,1O5JLG,1,kuaci,GoFood
29-12-2122,11:57:56,1O5JLF,2,kacang kulit,Cash
29-12-2122,8:49:18,1O5JLE,3,lays,Gopay
28-12-2122,22:11:42,1O5JLD,4,chitato,Mandiri
28-12-2122,21:11:44,1O5JLC,5,superstar,Gopay
28-12-2122,21:11:13,1O5JLB,2,momogi,BCA
28-12-2122,19:24:58,1O5JLA,2,yupi,Gopay
28-12-2122,18:17:11,1O5JL9,4,astor,Gopay
28-12-2122,15:24:52,1O5JL8,1,siip,GrabFood
28-12-2122,13:33:17,1O5JL7,2,helo panda,Other
28-12-2122,12:38:44,1O5JL6,3,poki poki,Cash
28-12-2122,12:28:58,1O5JL5,4,top,GoFood
28-12-2122,12:18:31,1O5JL4,5,oreo,Gopay
28-12-2122,11:27:32,1O5JL3,2,selai olai,Gopay
28-12-2122,11:21:51,1O5JL2,3,gery salut,Cash
28-12-2122,11:14:31,1O5JL1,2,malkis roma,Cash
28-12-2122,11:11:13,1O5JL1,4,tik tik,Gopay
28-12-2122,9:26:28,1O5JKZ,1,krisbee,Gopay
27-12-2122,22:49:23,1O5JKY,2,sponge,BCA
27-12-2122,22:46:16,1O5JKW,3,chocopie,Cash
27-12-2122,22:44:26,1O5JKV,2,jetz,Cash
27-12-2122,22:29:49,1O5JKU,4,chiki ball,BNI
27-12-2122,21:14:18,1O5JKT,1,chitato lite,Cash
27-12-2122,21:13:11,1O5JKS,2,kusuka,Gopay
27-12-2122,21:53:51,1O5JKR,3,piattos,Cash
27-12-2122,21:49:11,1O5JKQ,4,time break,Other
27-12-2122,21:33:14,1O5JKP,5,tango,Gopay
27-12-2122,21:31:49,1O5JKO,2,fanta,BCA
27-12-2122,21:24:49,1O5JKN,2,sprite,Cash
27-12-2122,21:15:31,1O5JKM,4,roma arden,Cash
27-12-2122,19:53:53,1O5JKL,1,kalpa,Gopay
27-12-2122,19:51:34,1O5JKK,2,le minerale,Cash
27-12-2122,19:41:42,1O5JKJ,3,mizone,Other
27-12-2122,19:14:16,1O5JKI,4,pocari sweat,Gopay
